YEAR,QUARTER,MONTH,OP_UNIQUE_CARRIER,ORIGIN_AIRPORT_ID,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST_CITY_NAME,DEP_DELAY,DEP_DEL15,ARR_DELAY,ARR_DEL15,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",8,0,5,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",7,0,-16,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",-9,0,-12,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",12,0,0,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",15,1,29,1,0,15,14,0,0
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",7,0,10,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",2,0,-8,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",1,0,-20,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",-5,0,5,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",8,0,15,1,0,0,15,0,0
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",3,0,9,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",43,1,36,1,36,0,0,0,0
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",-1,0,-18,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",0,0,-5,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",29,1,25,1,15,0,0,0,10
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",7,0,-4,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",18,1,11,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",16,1,26,1,13,0,10,0,3
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",9,0,7,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",-4,0,-9,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",-2,0,-20,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",8,0,-1,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",83,1,102,1,27,0,19,0,56
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",-3,0,21,1,0,0,21,0,0
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",23,1,1,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",-2,0,2,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",2,0,5,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",4,0,0,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",9,0,1,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",17,1,10,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",7,0,-5,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",17,1,12,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",95,1,120,1,86,0,25,0,9
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",37,1,34,1,32,0,0,0,2
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",12,0,-3,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",-2,0,0,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",6,0,8,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",7,0,28,1,7,0,21,0,0
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",-1,0,8,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",43,1,90,1,43,0,47,0,0
2015,1,1,WN,10721,"Boston, MA",11292,"Denver, CO",0,0,23,1,0,0,23,0,0
2015,1,1,WN,10721,"Boston, MA",11292,"Denver, CO",3,0,31,1,0,0,31,0,0
2015,1,1,WN,10721,"Boston, MA",11292,"Denver, CO",-13,0,6,0,,,,,
2015,1,1,WN,10721,"Boston, MA",11292,"Denver, CO",-6,0,6,0,,,,,
2015,1,1,WN,10721,"Boston, MA",11292,"Denver, CO",78,1,82,1,78,0,4,0,0
2015,1,1,WN,10721,"Boston, MA",11292,"Denver, CO",-1,0,-10,0,,,,,
2015,1,1,WN,10721,"Boston, MA",11292,"Denver, CO",1,0,3,0,,,,,
2015,1,1,WN,10721,"Boston, MA",11292,"Denver, CO",-2,0,-3,0,,,,,
2015,1,1,WN,10721,"Boston, MA",11292,"Denver, CO",9,0,-3,0,,,,,
2015,1,1,WN,10721,"Boston, MA",11292,"Denver, CO",-1,0,-10,0,,,,,
2015,1,1,WN,10721,"Boston, MA",11292,"Denver, CO",0,0,-14,0,,,,,
2015,1,1,WN,10721,"Boston, MA",11292,"Denver, CO",-4,0,-20,0,,,,,
2015,1,1,WN,10721,"Boston, MA",11292,"Denver, CO",-1,0,-8,0,,,,,
2015,1,1,WN,10721,"Boston, MA",11292,"Denver, CO",1,0,2,0,,,,,
2015,1,1,WN,10721,"Boston, MA",11292,"Denver, CO",0,0,-21,0,,,,,
2015,1,1,WN,10721,"Boston, MA",11292,"Denver, CO",-6,0,-15,0,,,,,
2015,1,1,WN,10721,"Boston, MA",11292,"Denver, CO",6,0,-42,0,,,,,
2015,1,1,WN,10721,"Boston, MA",11292,"Denver, CO",-5,0,-28,0,,,,,
2015,1,1,WN,10721,"Boston, MA",11292,"Denver, CO",0,0,-21,0,,,,,
2015,1,1,WN,10721,"Boston, MA",11292,"Denver, CO",-5,0,-41,0,,,,,
2015,1,1,WN,10721,"Boston, MA",11292,"Denver, CO",86,1,67,1,67,0,0,0,0
2015,1,1,WN,10721,"Boston, MA",11292,"Denver, CO",-5,0,-28,0,,,,,
2015,1,1,WN,10721,"Boston, MA",11292,"Denver, CO",-4,0,-32,0,,,,,
2015,1,1,WN,10721,"Boston, MA",11292,"Denver, CO",-4,0,-13,0,,,,,
2015,1,1,WN,10721,"Boston, MA",11292,"Denver, CO",-2,0,-48,0,,,,,
2015,1,1,WN,10721,"Boston, MA",11292,"Denver, CO",-1,0,-39,0,,,,,
2015,1,1,WN,10721,"Boston, MA",11292,"Denver, CO",6,0,4,0,,,,,
2015,1,1,WN,10721,"Boston, MA",11292,"Denver, CO",123,1,120,1,87,0,0,0,33
2015,1,1,WN,10721,"Boston, MA",11292,"Denver, CO",-6,0,-50,0,,,,,
2015,1,1,WN,10721,"Boston, MA",11292,"Denver, CO",-1,0,15,1,0,0,15,0,0
2015,1,1,WN,10721,"Boston, MA",11292,"Denver, CO",-1,0,-43,0,,,,,
2015,1,1,WN,10721,"Boston, MA",11292,"Denver, CO",,,,,,,,,
2015,1,1,WN,10721,"Boston, MA",11292,"Denver, CO",1,0,-27,0,,,,,
2015,1,1,WN,10721,"Boston, MA",11292,"Denver, CO",0,0,-31,0,,,,,
